ticker,effective_date,dividend_yield,source
RELIANCE,2024-01-15,0.52,nse
RELIANCE,2024-07-15,0.55,nse
TCS,2024-01-20,1.25,nse
TCS,2024-07-20,1.35,nse
INFY,2024-01-25,2.15,nse
INFY,2024-07-25,2.42,nse
HDFCBANK,2024-02-01,1.05,nse
HDFCBANK,2024-08-01,1.12,nse
ICICIBANK,2024-02-10,0.85,nse
ICICIBANK,2024-08-10,0.92,nse
SBIN,2024-03-01,1.85,nse
SBIN,2024-09-01,1.95,nse
HINDUNILVR,2024-03-15,1.42,nse
HINDUNILVR,2024-09-15,1.48,nse
ITC,2024-04-01,2.85,nse
ITC,2024-10-01,2.95,nse
KOTAKBANK,2024-04-10,0.08,nse
KOTAKBANK,2024-10-10,0.1,nse
BHARTIARTL,2024-05-01,0.55,nse
BHARTIARTL,2024-11-01,0.58,nse
AXISBANK,2024-05-15,0.12,nse
AXISBANK,2024-11-15,0.15,nse
ASIANPAINT,2024-06-01,1.05,nse
ASIANPAINT,2024-12-01,1.12,nse
MARUTI,2024-06-15,0.95,nse
MARUTI,2024-12-15,1.02,nse
TATAMOTORS,2024-07-01,0.35,nse
TATAMOTORS,2025-01-01,0.42,nse
SUNPHARMA,2024-07-15,0.72,nse
SUNPHARMA,2025-01-15,0.78,nse
NESTLEIND,2024-08-01,1.55,nse
NESTLEIND,2025-02-01,1.62,nse
WIPRO,2024-08-15,1.95,nse
WIPRO,2025-02-15,2.05,nse
POWERGRID,2024-09-01,4.25,nse
POWERGRID,2025-03-01,4.35,nse
NTPC,2024-09-15,3.85,nse
NTPC,2025-03-15,3.92,nse
COALINDIA,2024-10-01,5.85,nse
COALINDIA,2025-04-01,6.1,nse
ONGC,2024-10-15,4.55,nse
ONGC,2025-04-15,4.72,nse
ADANIENT,2024-11-01,0.05,nse
ADANIENT,2025-05-01,0.06,nse
HCLTECH,2024-11-15,2.85,nse
HCLTECH,2025-05-15,2.95,nse
ULTRACEMCO,2024-12-01,0.45,nse
ULTRACEMCO,2025-06-01,0.48,nse
TITAN,2024-12-15,0.25,nse
TITAN,2025-06-15,0.28,nse
BAJFINANCE,2025-01-01,0.15,nse
BAJFINANCE,2025-07-01,0.18,nse
LT,2025-02-01,0.95,nse
LT,2025-08-01,1.02,nse
M&M,2025-03-01,0.65,nse
M&M,2025-09-01,0.72,nse
TECHM,2025-04-01,2.15,nse
TECHM,2025-10-01,2.25,nse
DRREDDY,2025-05-01,0.82,nse
DRREDDY,2025-11-01,0.88,nse
BRITANNIA,2025-06-01,1.35,nse
BRITANNIA,2025-12-01,1.42,nse
CIPLA,2025-07-01,0.55,nse
CIPLA,2026-01-01,0.58,nse
JSWSTEEL,2025-08-01,0.35,nse
JSWSTEEL,2026-02-01,0.38,nse
GRASIM,2025-09-01,0.42,nse
GRASIM,2026-03-01,0.45,nse
TATACONSUM,2025-10-01,0.75,nse
TATACONSUM,2026-04-01,0.78,nse
EICHERMOT,2025-11-01,0.55,nse
EICHERMOT,2026-05-01,0.58,nse
APOLLOHOSP,2025-12-01,0.15,nse
APOLLOHOSP,2026-06-01,0.18,nse
HEROMOTOCO,2026-01-01,2.85,nse
HEROMOTOCO,2026-07-01,2.95,nse
BPCL,2026-02-01,5.25,nse
BPCL,2026-08-01,5.45,nse
INDUSINDBK,2026-03-01,0.65,nse
INDUSINDBK,2026-09-01,0.68,nse
DIVISLAB,2026-04-01,0.45,nse
DIVISLAB,2026-10-01,0.48,nse
BAJAJFINSV,2026-05-01,0.08,nse
BAJAJFINSV,2026-11-01,0.1,nse
SHRIRAMFIN,2026-06-01,1.25,nse
SHRIRAMFIN,2026-12-01,1.32,nse
ZOMATO,2026-07-01,0.0,nse
ZOMATO,2027-01-01,0.0,nse
PAYTM,2026-08-01,0.0,nse
PAYTM,2027-02-01,0.0,nse
